author1 Dep,author2 Dep,author3 Dep,author4 Dep,author5 Dep,author6 Dep
NA,Center of Research Excellence in Corrosion,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
Chemical Engineering Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Chemical Engineering Department,Center of Research Excellence in Nanotechnology,NA,NA,NA,NA
UNKNOWN KFUPM Department,Mechanical Engineering Department,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Computer Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,NA,NA,NA,NA,NA
Center for Integrative Petroleum Research,Center of Research Excellence in Nanotechnology,NA,Chemistry Department,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,NA,NA,NA,NA,NA
Petroleum Engineering Department,Center for Integrative Petroleum Research,NA,NA,NA,NA
NA,NA,Chemistry Department,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
Mathematics & Statistics Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Electrical Engineering Department,NA,NA,NA,NA,NA
NA,Civil & Environmental Engineering Department,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Renewable Energy,NA,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,NA,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Renewable Energy,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Nanotechnology,Phys Department,NA,NA,NA,NA
Systems Engineering Department,NA,NA,NA,NA,NA
NA,Chemical Engineering Department,NA,NA,NA,NA
NA,NA,Civil & Environmental Engineering Department,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
NA,Center of Research Excellence in Corrosion,NA,NA,NA,NA
Mechanical Engineering Department,NA,NA,NA,NA,NA
NA,Chemistry Department,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
UNKNOWN KFUPM Department,NA,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
Electrical Engineering Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Mechanical Engineering Department,UNKNOWN KFUPM Department,Center of Research Excellence in Renewable Energy,NA,NA,NA
NA,Chemical Engineering Department,Center of Research Excellence in Nanotechnology,NA,NA,NA
UNKNOWN KFUPM Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
UNKNOWN KFUPM Department,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,NA,NA,NA,NA,NA
Phys Department,NA,NA,NA,NA,NA
Chemical Engineering Department,Center for Refining & Petrochemicals,NA,NA,NA,NA
Systems Engineering Department,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,Chemistry Department,NA,NA,NA,NA
Center for Refining & Petrochemicals,NA,NA,NA,NA,NA
Center of Research Excellence in Corrosion,NA,NA,NA,NA,NA
Aerospace Engineering Department,NA,NA,NA,NA,NA
Chemistry Department,NA,NA,NA,NA,NA
UNKNOWN KFUPM Department,NA,NA,NA,NA,NA
UNKNOWN KFUPM Department,NA,NA,NA,NA,NA
Petroleum Engineering Department,NA,NA,NA,NA,NA
Center for Environment & Water,NA,NA,NA,NA,NA
Center of Research Excellence in Nanotechnology,NA,NA,NA,NA,NA
