,Funding Orgs
1, [CIPR2322]
2, [FP054-2016]
3, [IN141048]
4, [NSTIP 12-OIL3033-04]
5,"'Georessources et Environnement' (ENSEGID Bordeaux-INP), France [EA 4592]; KU Leuven, BelgiumKU Leuven; College of Petroleum Engineering & Geosciences of the King Fand University of Petroleum & Minerals (CPG-KFUPM), Saudi Arabia"
6,Acadia University; NSERC Discovery Grant of Canada; King Fahd University of Petroleum and Minerals
7,Acid Stimulation Research Program at Texas AM University; Saudi Aramco; King Fahd University of Petroleum and Minerals
8,Ahlia University (Bahrain); King Fahd University of Petroleum and Minerals (Saudi Arabia)
9,Algerian National Thematic Agency of Research in Science and Technology (ATRST); university of Sidi Bel Abbes (UDL SBA) in Algeria
10,"Australian Research CouncilAustralian Research Council; Deanship of Research (DSR) at King Fand University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN161038]"
11,"AUTO21 Network of Centres of Excellence, Canada's automotive research program [A506-AWH]; Natural Science and Engineering Research Council's (NSERC) Discovery Grant Program [RGPIN 341664]; Government of Canada through a Networks of Centres of Excellence program"
12,Basic Science Research Program of the National Research Foundation of Korea (NRF) - Republic of Korea [2016R1D1A1B03931989]
13,Belarusian National Technical University (BNTU); King Fahd University of Petroleum & Minerals (KFUPM)
14,"BMBF (Bundesministerium fur Bildung and Forschung), initiative Hycats [033RC1012A]; Global Research Laboratory (GRL) Program - Korea Government (MSIP) through the National Research Foundation (NRF) [NRF-2014K1A1A2041044]"
15,Bureau of Safety and Environmental Enforcement (BSEE) [E17PC00005]
16,Canadian Natural Sciences and Engineering Research CouncilNatural Sciences and Engineering Research Council of Canada [2015-06189]
17,"CAPES (PNPD-PhD scholarships) [BEX 5383/15-3]; CNPqNational Council for Scientific and Technological Development (CNPq) [304051/2014-4]; FAPERJCarlos Chagas Filho Foundation for Research Support of the State of Rio de Janeiro (FAPERJ) [E-26/110.087/2014, 13.577/2015, 216.730/2015]"
18,"CAPESCAPES [BEX 5383/15-3]; (PNPD-PhD scholarships) CNPqNational Council for Scientific and Technological Development (CNPq) [304051/2014-4]; FAPERJCarlos Chagas Filho Foundation for Research Support of the State of Rio de Janeiro (FAPERJ) [E-26/110.087/2014, 13.577/2015, 216.730/2015]; CAPES via the PNPD scholarshipsCAPES"
19,Capital Market Authority in Saudi Arabia
20,CEEE; KFUPM
21,CENT [NT-2019-MA]
22,CENT at KFUPM
23,CENT-KFUPM
